Protein,Protein Name,Protein Family,ChEMBL ID
PTN,Tyrosine-protein phosphatase non-receptor type 12,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 4 subfamily,CHEMBL3236
PTN,Tyrosine-protein phosphatase non-receptor type 13,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL2976
PTN,Tyrosine-protein phosphatase non-receptor type 11,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 2 subfamily,CHEMBL3864
PTN,Tyrosine-protein phosphatase non-receptor type 14,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL3317332
PTN,Tyrosine-protein phosphatase non-receptor type 18,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 4 subfamily,CHEMBL3351197
PTN,Tyrosine-protein phosphatase non-receptor type 7,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL2219
PTN,Tyrosine-protein phosphatase non-receptor type 22,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 4 subfamily,CHEMBL2889
PTN,Tyrosine-protein phosphatase non-receptor type 3,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL2396509
PTN,Tyrosine-protein phosphatase non-receptor type 6,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 2 subfamily,CHEMBL3166
PTN,Tyrosine-protein phosphatase non-receptor type 1,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,CHEMBL335
PTN,Myeloblastin,Belongs to the peptidase S1 family. Elastase subfamily,CHEMBL3900
PTN,Dual specificity protein phosphatase 1,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,CHEMBL6026
PTN,Integrin beta-3,Belongs to the integrin beta chain family,CHEMBL1907598
PTN,Integrin alpha-V,Belongs to the integrin alpha chain family,CHEMBL3660
PTN,Receptor-type tyrosine-protein phosphatase zeta,Belongs to the protein-tyrosine phosphatase family. Receptor class 5 subfamily,CHEMBL4295730
PTN,ALK tyrosine kinase receptor,Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily,CHEMBL4247
PTN,Midkine,Belongs to the pleiotrophin family,CHEMBL1949490
TUBB4B,Tubulin beta-4B chain,Belongs to the tubulin family,CHEMBL1848
TUBB4B,Leucine-rich repeat serine/threonine-protein kinase 2,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL1075104
PAQR9,Membrane-associated progesterone receptor component 1,Belongs to the cytochrome b5 family. MAPR subfamily,CHEMBL4105706
ADIPOR1,Adiponectin receptor protein 1,Belongs to the ADIPOR family,CHEMBL3392946
ADIPOR1,Adiponectin receptor protein 2,Belongs to the ADIPOR family,CHEMBL3392947
ADIPOR1,Toll-like receptor 4,Belongs to the Toll-like receptor family,CHEMBL5255
CYP1A2,Cytochrome P450 1A2,Belongs to the cytochrome P450 family,CHEMBL3356
CYP1A2,Nuclear receptor subfamily 0 group B member 2,Belongs to the nuclear hormone receptor family. NR0 subfamily,CHEMBL5603
CYP1A2,Phosphatidylserine lipase ABHD16A,Belongs to the AB hydrolase superfamily. ABHD16 family,CHEMBL6168
CYP1A2,Cytochrome P450 1A1,Belongs to the cytochrome P450 family,CHEMBL2231
ATP9A,Protein MON2 homolog,Belongs to the MON2 family,CHEMBL4105804
ATP9A,Ras-related protein Rab-11A,Belongs to the small GTPase superfamily. Rab family,CHEMBL5291509
ATP9A,Vacuolar protein sorting-associated protein 35,Belongs to the VPS35 family,CHEMBL2216744
UBE4B,Ubiquitin-conjugating enzyme E2 D3,Belongs to the ubiquitin-conjugating enzyme family,CHEMBL4105911
UBE4B,Ubiquitin-conjugating enzyme E2 D2,Belongs to the ubiquitin-conjugating enzyme family,CHEMBL4105990
UBE4B,Transitional endoplasmic reticulum ATPase,Belongs to the AAA ATPase family,CHEMBL1075145
TPSAB1,Tryptase alpha/beta-1,Belongs to the peptidase S1 family. Tryptase subfamily,CHEMBL2617
TPSAB1,SH2/SH3 adapter protein NCK1,N/A,CHEMBL4846
TPSAB1,Phosphatidylinositol 3-kinase regulatory subunit alpha,Belongs to the PI3K p85 subunit family,CHEMBL2506
CCNG1,Serine/threonine-protein kinase PAK 5,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily,CHEMBL4524
CCNG1,Huntingtin,Belongs to the huntingtin family,CHEMBL5514
ENO4,Alpha-enolase,Belongs to the enolase family,CHEMBL3298
DDX21,Nucleolar RNA helicase 2,Belongs to the DEAD box helicase family. DDX21/DDX50 subfamily,CHEMBL4296016
DDX21,Importin subunit alpha-4,Belongs to the importin alpha family,CHEMBL4523119
DDX21,ATP-dependent RNA helicase DDX1,Belongs to the DEAD box helicase family. DDX1 subfamily,CHEMBL2010634
DDX21,Tyrosine-protein kinase BAZ1B,Belongs to the WAL family. BAZ1B subfamily,CHEMBL3588730
DDX21,NAD-dependent protein deacetylase sirtuin-7,Belongs to the sirtuin family. Class IV subfamily,CHEMBL2163184
DDX21,ATP-dependent DNA/RNA helicase DHX36,Belongs to the DEAD box helicase family. DEAH subfamily,CHEMBL2040704
DDX21,CREB-binding protein,N/A,CHEMBL5747
DDX21,La-related protein 7,Belongs to the LARP7 family,CHEMBL4523314
DDX21,Heterogeneous nuclear ribonucleoproteins C1/C2,Belongs to the RRM HNRPC family. RALY subfamily,CHEMBL2216742
DPF1,Cytochrome c oxidase subunit NDUFA4,Belongs to the complex IV NDUFA4 subunit family,CHEMBL2317
DPF1,Probable global transcription activator SNF2L2,Belongs to the SNF2/RAD54 helicase family,CHEMBL2362979
DPF1,Transcription activator BRG1,Belongs to the SNF2/RAD54 helicase family,CHEMBL3085620
DPF1,Heat shock-related 70 kDa protein 2,Belongs to the heat shock protein 70 family,CHEMBL2062348
DPF1,Monocarboxylate transporter 1,Belongs to the major facilitator superfamily. Monocarboxylate porter (TC 2.A.1.13) family,CHEMBL4360
DPF1,Choline O-acetyltransferase,Belongs to the carnitine/choline acetyltransferase family,CHEMBL4039
ADIPOR2,Adiponectin receptor protein 2,Belongs to the ADIPOR family,CHEMBL3392947
ADIPOR2,Adiponectin receptor protein 1,Belongs to the ADIPOR family,CHEMBL3392946
SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",Belongs to the helicase family,CHEMBL3642
SUPV3L1,Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN,Belongs to the helicase family. RecQ subfamily,CHEMBL2146312
SUPV3L1,RecQ-like DNA helicase BLM,Belongs to the helicase family. RecQ subfamily,CHEMBL1293237
DNAJC5,Synaptosomal-associated protein 25,Belongs to the SNAP-25 family,CHEMBL2364159
DNAJC5,Alpha-synuclein,Belongs to the synuclein family,CHEMBL6152
COMT,Catechol O-methyltransferase,Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-dependent O-methyltransferase family,CHEMBL2023
COMT,Sphingosine 1-phosphate receptor 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL3892
COMT,Cation-dependent mannose-6-phosphate receptor,N/A,CHEMBL5788
COMT,G-protein coupled receptor 161,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523894
DRD2,D(2) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL217
DRD2,D(4) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL219
DRD2,5-hydroxytryptamine receptor 2A,Belongs to the G-protein coupled receptor 1 family,CHEMBL224
DRD2,Ankyrin repeat and protein kinase domain-containing protein 1,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL5547
DRD2,Regulator of G-protein signaling 8,N/A,CHEMBL2034803
DRD2,Opsin-5,Belongs to the G-protein coupled receptor 1 family. Opsin subfamily,CHEMBL4523878
DRD2,D(1A) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL2056
DRD2,Nuclear receptor subfamily 4 group A member 2,Belongs to the nuclear hormone receptor family. NR4 subfamily,CHEMBL5002
DRD2,Regulator of G-protein signaling 17,N/A,CHEMBL4295974
DRD2,Guanine nucleotide-binding protein G(i) subunit alpha-2,Belongs to the G-alpha family. G(i/o/t/z) subfamily,CHEMBL4105887
DRD2,Sodium-dependent dopamine transporter,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A3 subfamily,CHEMBL238
DRD2,D(3) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL234
DRD2,Potassium voltage-gated channel subfamily A member 2,Belongs to the potassium channel family. A (Shaker) (TC 1.A.1.2) subfamily. Kv1.2/KCNA2 sub-subfamily,CHEMBL2086
MAP3K3,Mitogen-activated protein kinase kinase kinase 3,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL5970
MAP3K3,Dual specificity mitogen-activated protein kinase kinase 5,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL4948
MAP3K3,Dual specificity mitogen-activated protein kinase kinase 6,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL2171
MAP3K3,Kinase suppressor of Ras 2,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL3627583
MAP3K3,Proteasome activator complex subunit 3,Belongs to the PA28 family,CHEMBL4296023
MAP3K3,14-3-3 protein theta,Belongs to the 14-3-3 family,CHEMBL3710408
MAP3K3,Receptor-interacting serine/threonine-protein kinase 4,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL6083
MAP3K3,Dual specificity mitogen-activated protein kinase kinase 3,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL2109
MAP3K3,14-3-3 protein eta,Belongs to the 14-3-3 family,CHEMBL3708585
MAP3K3,Dual specificity mitogen-activated protein kinase kinase 7,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL3530
MAP3K3,14-3-3 protein beta/alpha,Belongs to the 14-3-3 family,CHEMBL3710403
MAP3K3,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
MAP3K3,14-3-3 protein gamma,Belongs to the 14-3-3 family,CHEMBL1293296
MAP3K3,14-3-3 protein zeta/delta,Belongs to the 14-3-3 family,CHEMBL4105899
MAP3K3,14-3-3 protein epsilon,Belongs to the 14-3-3 family,CHEMBL3329082
MAP3K3,Ras-related C3 botulinum toxin substrate 1,Belongs to the small GTPase superfamily. Rho family,CHEMBL6094
DUSP10,Dual specificity protein phosphatase 10,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,CHEMBL2396511
DUSP10,Mitogen-activated protein kinase 14,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL260
DUSP10,Beta-secretase 2,Belongs to the peptidase A1 family,CHEMBL2525
DUSP10,Mitogen-activated protein kinase 9,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4179
DUSP10,Mitogen-activated protein kinase 8,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2276
DUSP10,"Glutamate receptor ionotropic, NMDA 2C",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2C/GRIN2C subfamily,CHEMBL4109
DUSP10,Alpha-crystallin A chain,Belongs to the small heat shock protein (HSP20) family,CHEMBL4296283
DUSP10,Gelsolin,Belongs to the villin/gelsolin family,CHEMBL4295700
DUSP10,GTPase HRas,Belongs to the small GTPase superfamily. Ras family,CHEMBL2167
DUSP10,Fibroblast growth factor receptor 3,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL2742
LHX9,Ketohexokinase,Belongs to the carbohydrate kinase PfkB family,CHEMBL1275212
LHX9,Casein kinase II subunit alpha,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CK2 subfamily,CHEMBL3629
PTGS2,Prostaglandin G/H synthase 2,Belongs to the prostaglandin G/H synthase family,CHEMBL230
PTGS2,Prostaglandin G/H synthase 1,Belongs to the prostaglandin G/H synthase family,CHEMBL221
PTGS2,Sphingosine kinase 1,N/A,CHEMBL4394
PTGS2,Prostaglandin E synthase,Belongs to the MAPEG family,CHEMBL5658
PTGS2,"Nitric oxide synthase, inducible",Belongs to the NOS family,CHEMBL4481
PTGS2,Receptor tyrosine-protein kinase erbB-2,Belongs to the protein kinase superfamily. Tyr protein kinase family. EGF receptor subfamily,CHEMBL1824
MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1,Belongs to the Bcl-2 family,CHEMBL4361
MCL1,Bcl-2-like protein 11,Belongs to the Bcl-2 family,CHEMBL5777
MCL1,Mitogen-activated protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4040
MCL1,Apoptosis regulator BAX,Belongs to the Bcl-2 family,CHEMBL5318
MCL1,Ubiquitin carboxyl-terminal hydrolase 24,Belongs to the peptidase C19 family,CHEMBL5291599
MCL1,WD repeat and HMG-box DNA-binding protein 1,N/A,CHEMBL4295681
MCL1,Voltage-gated potassium channel regulatory subunit KCNF1,Belongs to the potassium channel family. F (TC 1.A.1.2) subfamily. Kv5.1/KCNF1 sub-subfamily,CHEMBL2362996
MCL1,Bcl-2 homologous antagonist/killer,Belongs to the Bcl-2 family,CHEMBL5609
MCL1,E3 ubiquitin-protein ligase HUWE1,Belongs to the UPL family. TOM1/PTR1 subfamily,CHEMBL4295881
MCL1,Ubiquitin carboxyl-terminal hydrolase 13,Belongs to the peptidase C19 family,CHEMBL3407324
MCL1,BH3-interacting domain death agonist,N/A,CHEMBL1250414
MCL1,Ubiquitin carboxyl-terminal hydrolase 9X,Belongs to the peptidase C19 family,CHEMBL2406899
MCL1,Ubiquitin carboxyl-terminal hydrolase 20,Belongs to the peptidase C19 family. USP20/USP33 subfamily,CHEMBL3232682
MCL1,Heat shock cognate 71 kDa protein,Belongs to the heat shock protein 70 family,CHEMBL1275223
MCL1,Glycogen synthase kinase-3 alpha,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. GSK-3 subfamily,CHEMBL2850
KLHL32,Gamma-parvin,Belongs to the parvin family,CHEMBL5793
KLHL32,Mitogen-activated protein kinase 3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL3385
KLHL32,E3 ubiquitin-protein ligase RBX1,Belongs to the RING-box family,CHEMBL3833061
KLHL32,Transcription factor 4,N/A,CHEMBL3885541
KLHL32,TAR DNA-binding protein 43,N/A,CHEMBL2362981
KLHL32,Proto-oncogene c-Rel,N/A,CHEMBL4296310
CASP7,Caspase-7,Belongs to the peptidase C14A family,CHEMBL3468
CASP7,E3 ubiquitin-protein ligase XIAP,Belongs to the IAP family,CHEMBL4198
CASP7,Endoplasmic reticulum chaperone BiP,Belongs to the heat shock protein 70 family,CHEMBL1781865
CASP7,Serine/threonine-protein kinase PAK 2,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily,CHEMBL4487
CASP7,Pannexin-1,Belongs to the pannexin family,CHEMBL3779756
CASP7,Baculoviral IAP repeat-containing protein 7,Belongs to the IAP family,CHEMBL1075127
CASP7,Gasdermin-D,Belongs to the gasdermin family,CHEMBL4523247
CASP7,Sphingomyelin phosphodiesterase,Belongs to the acid sphingomyelinase family,CHEMBL2760
CASP7,Granzyme B,Belongs to the peptidase S1 family. Granzyme subfamily,CHEMBL2316
CASP7,Prostaglandin E synthase 3,Belongs to the p23/wos2 family,CHEMBL3341580
CASP7,Baculoviral IAP repeat-containing protein 2,Belongs to the IAP family,CHEMBL5462
CASP7,Calpain-1 catalytic subunit,Belongs to the peptidase C2 family,CHEMBL3891
CASP7,Poly [ADP-ribose] polymerase 1,Belongs to the ARTD/PARP family,CHEMBL3105
DDX20,Gem-associated protein 7,Belongs to the gemin-7 family,CHEMBL4105841
DDX20,Gem-associated protein 4,N/A,CHEMBL5169137
DDX20,Survival motor neuron protein,Belongs to the SMN family,CHEMBL1293232
DDX20,Snurportin-1,Belongs to the snurportin family,CHEMBL3885569
DDX20,Alpha-2-macroglobulin,Belongs to the protease inhibitor I39 (alpha-2-macroglobulin) family,CHEMBL4295690
AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,Belongs to the adenosylhomocysteinase family,CHEMBL3751646
AHCYL1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",Belongs to the InsP3 receptor family,CHEMBL4046
AHCYL1,Ribonucleoside-diphosphate reductase large subunit,Belongs to the ribonucleoside diphosphate reductase large chain family,CHEMBL1830
AHCYL1,Adenosylhomocysteinase,Belongs to the adenosylhomocysteinase family,CHEMBL2664
AHCYL1,Sodium/hydrogen exchanger 3,Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family,CHEMBL3273
AHCYL1,Bcl-2-like protein 10,Belongs to the Bcl-2 family,CHEMBL5988
AHCYL1,Josephin-2,N/A,CHEMBL4630845
AHCYL1,Solute carrier family 23 member 1,Belongs to the nucleobase:cation symporter-2 (NCS2) (TC 2.A.40) family,CHEMBL5209632
AHCYL1,BH3-interacting domain death agonist,N/A,CHEMBL1250414
AHCYL1,"Tryptophan 2,3-dioxygenase","Belongs to the tryptophan 2,3-dioxygenase family",CHEMBL2140
GSTM4,Glutathione S-transferase Mu 4,Belongs to the GST superfamily. Mu family,CHEMBL2100
GSTM4,Glutathione S-transferase Mu 2,Belongs to the GST superfamily. Mu family,CHEMBL4589
GSTM4,Glutathione S-transferase Mu 1,Belongs to the GST superfamily. Mu family,CHEMBL2081
GSTM4,Glutathione S-transferase Mu 5,Belongs to the GST superfamily. Mu family,CHEMBL2819
GSTM4,Glutathione S-transferase Mu 3,Belongs to the GST superfamily. Mu family,CHEMBL2242
GSTM4,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
NFKB2,Nuclear factor NF-kappa-B p100 subunit,N/A,CHEMBL3003
NFKB2,NF-kappa-B inhibitor epsilon,Belongs to the NF-kappa-B inhibitor family,CHEMBL3407
NFKB2,Menin,N/A,CHEMBL1615381
NFKB2,cAMP-dependent protein kinase catalytic subunit alpha,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. cAMP subfamily,CHEMBL4101
NFKB2,Transcription factor RelB,N/A,CHEMBL4523273
NFKB2,Mitogen-activated protein kinase kinase kinase 14,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL5888
NFKB2,PH and SEC7 domain-containing protein 1,Belongs to the PSD family,CHEMBL4523105
NFKB2,E3 ubiquitin-protein ligase ZFP91,Belongs to the krueppel C2H2-type zinc-finger protein family,CHEMBL4739701
NFKB2,Inhibitor of nuclear factor kappa-B kinase subunit alpha,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily,CHEMBL3476
NFKB2,Mitogen-activated protein kinase kinase kinase 8,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL4899
NFKB2,Nuclear factor NF-kappa-B p105 subunit,N/A,CHEMBL3251
NFKB2,Protein kinase C theta type,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,CHEMBL3920
NFKB2,NF-kappa-B inhibitor alpha,Belongs to the NF-kappa-B inhibitor family,CHEMBL2898
NFKB2,Proto-oncogene c-Rel,N/A,CHEMBL4296310
NFKB2,Small ubiquitin-related modifier 1,Belongs to the ubiquitin family. SUMO subfamily,CHEMBL2146296
